variable_type,layer,position,n_train,n_val,n_test,n_classes,chance,best_C,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_cross_entropy,test_macro_auroc,null_mean,null_q95,null_max,bootstrap_lo,bootstrap_hi,n_permutations,n_features,families,notes,criterion_margin,criterion_quantile,passes_margin,passes_null,is_represented,matched_control,control_test_balanced_accuracy,actual_minus_control_bacc,matched_control_margin,basic_probe_pass,control_distinguishable,control_ambiguous
z2,15,-1,700,280,420,3,0.3333333333333333,0.1,0.9690135516297306,0.9619047619047619,0.9609664843111364,0.09347526629993243,0.9976238343334728,0.34117273470414383,0.3978486763503741,0.48251509149217137,0.9348289399657034,0.9829284264190717,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.4756159478381701,0.48535053647296633,0.05,True,True,False
z2,20,-1,700,280,420,3,0.3333333333333333,0.003,1.0,1.0,1.0,0.02351965274609435,1.0,0.3483823020813683,0.45139557001823544,0.5395051248192164,1.0,1.0,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.4595291539735984,0.5404708460264016,0.05,True,True,False
z2,25,-1,700,280,420,3,0.3333333333333333,0.003,1.0,1.0,1.0,0.034386514170567435,1.0,0.3484022668678866,0.4575076243476074,0.47772432874300447,1.0,1.0,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.35980172091283197,0.6401982790871681,0.05,True,True,False
z2,30,-1,700,280,420,3,0.3333333333333333,0.1,0.9931972789115647,0.9952380952380953,0.9953703703703703,0.018657139965040908,1.0,0.32697242658617864,0.4332553213230208,0.5032580330755203,0.981016548463357,1.0,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.3495804606915718,0.6457899096787986,0.05,True,True,False
answer,0,-1,700,280,420,12,0.08333333333333333,0.003,0.27675461810661056,0.3142857142857143,0.31920608884367957,1.9020536009363787,0.8376466963564294,0.08529297350389681,0.11379227329984477,0.13603009777578742,0.267163976371513,0.375223955929893,50,699,demo_two_step,,0.1,0.95,True,True,False,answer_control,0.3222962768060227,-0.003090187962343116,0.05,True,False,True
answer,5,-1,700,280,420,12,0.08333333333333333,0.003,0.24165055725776788,0.2261904761904762,0.2343498492120316,2.1697949160880112,0.7768976837402618,0.07840366369688058,0.10764876876350331,0.12871944822375855,0.18087394809252744,0.2928555286658798,50,699,demo_two_step,,0.1,0.95,True,True,False,answer_control,0.25860171666592763,-0.024251867453896014,0.05,True,False,True
answer,10,-1,700,280,420,12,0.08333333333333333,0.003,0.22519454735299138,0.26904761904761904,0.26865691479745474,2.0647057407253557,0.7875187593629436,0.07869221567213854,0.1057670772216768,0.10729968326951085,0.22044086590239134,0.3152136699701833,50,699,demo_two_step,,0.1,0.95,True,True,False,answer_control,0.2669340313201376,0.0017228834773171386,0.05,True,False,True
answer,15,-1,700,280,420,12,0.08333333333333333,0.003,0.2571738803048101,0.29523809523809524,0.293483329681719,2.130955971480834,0.765227493008037,0.08869259683007416,0.12029338637919626,0.12880048814713063,0.2418750339900351,0.3414968011945824,50,699,demo_two_step,,0.1,0.95,True,True,False,answer_control,0.26228645077153523,0.031196878910183745,0.05,True,False,True
answer,20,-1,700,280,420,12,0.08333333333333333,0.1,0.7823745131809647,0.7666666666666667,0.7553311569163429,0.7507139412024963,0.9747011390308687,0.09278700363375954,0.13028202982972714,0.14756590668285313,0.6928191283307114,0.8051767699283386,50,699,demo_two_step,,0.1,0.95,True,True,True,answer_control,0.28493487679896595,0.47039628011737694,0.05,True,True,False
answer,25,-1,700,280,420,12,0.08333333333333333,0.01,0.9890873015873015,0.9714285714285714,0.9719026292302154,0.10515906296774206,0.9992387654669415,0.0908868064664344,0.1375835095527983,0.1756013927350134,0.9519355023636418,0.9873670990237494,50,699,demo_two_step,,0.1,0.95,True,True,True,answer_control,0.31230531953784907,0.6595973096923664,0.05,True,True,False
answer,30,-1,700,280,420,12,0.08333333333333333,0.01,0.9710798460798461,0.9738095238095238,0.9740808423459285,0.13026760441319912,0.998829495898233,0.09440575804970086,0.14756856432502982,0.15995587062397407,0.9587681334964651,0.9885530406762569,50,699,demo_two_step,,0.1,0.95,True,True,True,answer_control,0.2723071834104563,0.7017736589354722,0.05,True,True,False
